,City,Country,Max Temp,Lat,Lng,Hotel Name
4,San Andres,CO,84.22,12.5847,-81.7006,Guest House
7,Acajutla,SV,87.78,13.5928,-89.8275,Restaurante y Hostal Kilo 5
14,Cabo San Lucas,MX,84.61,22.8909,-109.9124,Waldorf Astoria Los Cabos Pedregal
59,Mayo,US,85.12,38.8876,-76.5119,No hotel found
82,Parrita,CR,87.24,9.5201,-84.3225,Cocomar Residences and Beachfront Hotel
83,Acapulco,MX,87.62,16.8634,-99.8901,Hotel del Magisterio
104,Rincon,US,84.9,32.296,-81.2354,No hotel found
105,Pizarro,CO,83.12,4.9533,-77.366,No hotel found
115,Phibun Mangsahan,TH,84.18,15.2447,105.2291,No hotel found
139,Kidal,ML,85.86,18.4411,1.4078,No hotel found
150,Bathsheba,BB,83.01,13.2167,-59.5167,Clifton Hall Great House
152,Puerto Ayora,EC,85.96,-0.7393,-90.3518,Muyuyo Galápagos
161,Maiduguri,NG,87.01,11.8464,13.1603,Nanne and Boi Suites
189,Isangel,VU,84.31,-19.55,169.2667,Tanna Lodge
191,San Patricio,US,86.09,28.017,-97.5169,No hotel found
280,Alofi,NU,84.09,-19.0595,-169.9187,No hotel found
283,Bentiu,SS,86.76,9.2333,29.8333,No hotel found
285,Cordele,US,85.44,31.9635,-83.7824,Fairfield Inn & Suites Cordele
300,La Victoria,VE,87.08,10.2184,-67.3302,Ribas Davila
340,Arlit,NE,83.32,18.7369,7.3853,No hotel found
378,Chicama,PE,84.74,-7.8447,-79.1469,No hotel found
437,Sagua De Tanamo,CU,86.81,20.5819,-75.2414,Hotel Victoria
446,Bara,NG,84.58,10.3744,10.7288,No hotel found
456,Puerto Leguizamo,CO,84.96,-0.1934,-74.7819,Hospedaje
476,Gonaives,HT,85.68,19.45,-72.6833,Heberson paradis hotel
494,Taoudenni,ML,86.41,22.6783,-3.9836,No hotel found
537,Guajara,BR,83.68,-2.9667,-57.6667,No hotel found
561,Riva,US,85.15,38.9521,-76.578,DoubleTree by Hilton Hotel Annapolis
